Name,Release Date,Number of Reviews,Summary,Plays,Playing,ratio_confiance,Score,Genre,Platform,Date
Outlast,2013-09-04,547.0,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",7.5K,90,0.6347523958019011,4.3,"Adventure,Indie",PC,2013
Jazzpunk,2014-02-07,122.0,"Jazzpunk is a single-player, first-person adventure game, focusing on exploration and comedy over puzzle-solving. Each mission has one central objective, but the player is free to explore the game world at their own pace, which is populated with a large number of interactive NPCs, each with their own action or gag. Mini-games, including mini-golf, a Frogger clone, and a version of Duck Hunt in which the player pelts cardboard ducks with slices of bread from a toaster, also feature prominently in the game's storyline.",935,5,0.141571832336073,1.0,"Adventure,Indie",PC,2014
Danganronpa: Trigger Happy Havoc,2010-11-25,1000.0,"In ""Danganronpa"" you'll dive into a series of class trials and expose the lies and contradictions of your classmates in order to find out who's behind each grisly murder. In each trial, you'll have to use the evidence and testimony collected during your investigation to literally shoot down your opponent's assertions. By combining logic and motion, ""Danganronpa"" offers an exciting and unprecedented gaming experience.",12K,311,1.0,7.5,"Adventure,Visual Novel,Point-and-Click",VITA,2010
Lightning Returns: Final Fantasy XIII,2013-11-21,362.0,"As Lightning, it is your mission to save souls so they may be brought to a new world. However, with only thirteen days remaining, not everyone can be saved. Armed with all-new weapons, player customization and battle abilities, you are in a race against time to fully understand your destiny. It all ends here.",1.5K,44,0.4200737975873642,2.4,RPG,X360,2013
Octodad: Dadliest Catch,2014-01-30,169.0,"Octodad: Dadliest Catch is a game about destruction, deception, and fatherhood. The player controls Octodad, a dapper octopus masquerading as a human, as he goes about his life. Octodad's existence is a constant struggle, as he must master mundane tasks with his unwieldy boneless tentacles while simultaneously keeping his cephalopodan nature a secret from his human family.",2.5K,12,0.1961118005311175,1.2,"Adventure,Indie,Platform,Simulator,Strategy",PC,2014
Team Fortress 2,2007-10-09,955.0,"Choose from a selection of 9 classes, each with entertaining personalities and a different set of gameplay mechanics, to capture or defend the objective within numerous game modes against the enemy team, with a variety of unlockable and tradable weapons and cosmetics which add a layer of customization to each player's experience.",16K,505,1.0,7.9,Shooter,PC,2007
Metal Gear Rising: Revengeance,2013-02-19,2100.0,"Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!


              A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment.


              This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.


              ""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes.


              ""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes.


              Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.


              ""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.

              There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.",14K,492,1.0,8.1,"Adventure,Brawler,Strategy,Shooter",PC,2013
Metal Gear Rising: Revengeance,2013-02-19,2100.0,"Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!


              A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment.


              This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.


              ""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes.


              ""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes.


              Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.


              ""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.

              There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.",14K,492,1.0,8.1,"Adventure,Brawler,Strategy,Shooter",X360,2013
Terraria,2011-05-16,1300.0,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",18K,673,1.0,8.0,"Adventure,RPG,Indie,Platform,Strategy",PC,2011
Terraria,2011-05-16,1300.0,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",18K,673,1.0,8.0,"Adventure,RPG,Indie,Platform,Strategy",X360,2011
Terraria,2011-05-16,1300.0,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",18K,673,1.0,8.0,"Adventure,RPG,Indie,Platform,Strategy",PS3,2011
DmC: Devil May Cry,2013-01-15,432.0,"DmC: Devil May Cry is the fifth game in the hack-and-slash third-person action series and the first not largely developed by Capcom. This title is a reimagining of the series, with the same protagonist Dante, but set in an alternate universe. The Dante in this game is very different from before, doing away with the trademark white hair and altering the main character as well as the game's tone with a much more Western influence. The gameplay is still largely identical as Dante engages many opponents with a fast fighting style, stringing together combos and hits in quick succession.",6.3K,62,0.501303537452324,3.5,"Adventure,Brawler",PC,2013
DmC: Devil May Cry,2013-01-15,432.0,"DmC: Devil May Cry is the fifth game in the hack-and-slash third-person action series and the first not largely developed by Capcom. This title is a reimagining of the series, with the same protagonist Dante, but set in an alternate universe. The Dante in this game is very different from before, doing away with the trademark white hair and altering the main character as well as the game's tone with a much more Western influence. The gameplay is still largely identical as Dante engages many opponents with a fast fighting style, stringing together combos and hits in quick succession.",6.3K,62,0.501303537452324,3.5,"Adventure,Brawler",X360,2013
DmC: Devil May Cry,2013-01-15,432.0,"DmC: Devil May Cry is the fifth game in the hack-and-slash third-person action series and the first not largely developed by Capcom. This title is a reimagining of the series, with the same protagonist Dante, but set in an alternate universe. The Dante in this game is very different from before, doing away with the trademark white hair and altering the main character as well as the game's tone with a much more Western influence. The gameplay is still largely identical as Dante engages many opponents with a fast fighting style, stringing together combos and hits in quick succession.",6.3K,62,0.501303537452324,3.3,"Adventure,Brawler",PS3,2013
Brothers: A Tale of Two Sons,2013-08-07,511.0,"Brothers is presented from a third-person view overlooking the two brothers. The brothers are moved individually by two thumbsticks on the controller. The controller triggers also cause the respective brother to interact with the game world, such as talking to a non-player character or grabbing onto a ledge or object.


              The older brother is the stronger of the two and can pull levers or boost his younger brother to higher spaces, while the younger one can pass between narrow bars. The player progresses by manipulating the two brothers at the same time to complete various puzzles, often requiring the player to manipulate both brothers to perform differing functions (such as one distracting a hostile non-player character while the other makes their way around).


              Should either brother fall from a great height or get injured, the game restarts at a recent checkpoint. All of the in-game dialogue is spoken in a fictional language, thus the story is conveyed through actions, gestures and expressions.",4K,28,0.5929771010142074,4.4,"Adventure,Indie,Puzzle",X360,2013
Battlefield 4,2013-10-29,431.0,"Battlefield 4 is the genre-defining action blockbuster created by Dice, and made from moments that blur the line between game and glory, moments found only in Battlefield. Go to Boot Camp to learn the basics of Battlefield 4's engaging single player and intense multiplayer mode. Here you'll also find intel on Levolution, Commander Mode, Naval Warfare and many more exciting game features.",7.1K,72,0.5001431125971104,3.8,Shooter,X360,2013
Call of Duty: Ghosts,2013-11-05,411.0,"Call of Duty: Ghosts takes place following a catastrophic event that changed the global balance of powers in the world. As a result, the United States is no longer recognized as a superpower. Ten years after the event, an unseen enemy emerges as a threat, but the remnants of US special forces from every branch came together to create an elite group of soldiers known as the ""Ghosts"", who are determined to eradicate all threats to protect the weak and the remains of America.",6.5K,9,0.4769346154928361,3.1,Shooter,PS4,2013
FIFA 14,2013-09-24,92.0,FIFA 14 is a 2013 sports association football simulation video game developed by EA Canada and published by Electronic Arts.,2.2K,8,0.1067590866796616,0.8,Sport,PS3,2013
Super Mario 3D World,2013-11-21,1100.0,"Super Mario 3D World is a 3D platformer action game for the Wii U, and a follow-up of the Nintendo 3DS installment Super Mario 3D Land. The game builds upon the previous installment, following a similar 3D level-design convention inspired from the 2D platformer titles where players must navigate through a linear-designed level within a time limit to reach a level's Goal Pole. One key aspect introduced in this title is the simultaneous multiplayer: while not the first game in the series to do so, it is the first 3D title in the Mario series to incorporate up to four players cooperating with each other to reach the goal. Players can select their character from a pool of playable characters prior to starting the game, and each of these characters have their own unique playstyle that gives them advantages and disadvantages over other characters. The game makes use of several Wii U exclusive features, such as tapping blocks with the touch screen on the GamePad and blowing into the mic to reveal hidden items and blow away enemies. Various new power-ups are introduced in this title, with the trademark suit being the Cat power-up, which enables characters to perform a melee attack, climb up walls, and leap while midair, as well as the game generally having a cat-based theme.",9.6K,93,1.0,8.4,"Adventure,Platform",WIIU,2013
The Legend of Zelda: A Link Between Worlds,2013-11-22,1300.0,"The Legend of Zelda: A Link Between Worlds is the first Zelda game made exclusively for the Nintendo 3DS. It is an indirect sequel to A Link to the Past with the same version of Hyrule but with new characters and gameplay elements. Unlike the series' tradition, many areas of the world are accessible from the beginning of the game and the dungeons can be visited in any order. Puzzles are encountered not only in dungeons but also in the open world, a part of them revolves around the game's 3D visual effect. The 3DS touch-screen display shows the world, dungeon or map depending on where you are.",10K,168,1.0,8.6,"Adventure,RPG,Puzzle",3DS,2013
Danganronpa 2: Goodbye Despair,2012-07-26,972.0,"The follow up to Danganronpa: Trigger Happy Havoc. The main character, Hajime Hinata, a new 'Ultimate' student at Hope's Peak Academy. On their first day, Hajime and all of his classmates are taken on a field trip to the mysterious Jabberwock island by their anthropomorphic rabbit teacher, Usami. Usami explains that on this island the students are to have fun together and become friends to gather Hope Fragments. Usami's field trip does not go as planned when Monokuma appears and begins a new Killing Game. Anyone that wants to leave the island must commit a murder and get away with it. If the murderer is successful, he/she is allowed to leave the island, while everyone else is killed. When a murder occurs, the player investigates. After the investigations, a trial commences to determine who the culprit is.",9.9K,288,1.0,7.9,"Adventure,Visual Novel,Point-and-Click",VITA,2012
Batman: Arkham City,2011-10-18,1600.0,"After the events of Batman: Arkham Asylum (2009), a section of the city of Gotham has been turned into a prison, designed to keep the scum of the city away from the people. Bruce Wayne protests this prison but is shortly kidnapped by the despicable Hugo Strange, thus having to face the city's most powerful villains as the Batman while trying to uncover Strange's plans.",16K,192,1.0,8.6,"Adventure,Brawler",PC,2011
Batman: Arkham City,2011-10-18,1600.0,"After the events of Batman: Arkham Asylum (2009), a section of the city of Gotham has been turned into a prison, designed to keep the scum of the city away from the people. Bruce Wayne protests this prison but is shortly kidnapped by the despicable Hugo Strange, thus having to face the city's most powerful villains as the Batman while trying to uncover Strange's plans.",16K,192,1.0,8.6,"Adventure,Brawler",PS3,2011
Batman: Arkham City,2011-10-18,1600.0,"After the events of Batman: Arkham Asylum (2009), a section of the city of Gotham has been turned into a prison, designed to keep the scum of the city away from the people. Bruce Wayne protests this prison but is shortly kidnapped by the despicable Hugo Strange, thus having to face the city's most powerful villains as the Batman while trying to uncover Strange's plans.",16K,192,1.0,8.6,"Adventure,Brawler",X360,2011
Batman: Arkham Origins,2013-10-16,642.0,Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline occurring several years before the events of Batman: Arkham Asylum and Batman: Arkham City.,7.8K,125,0.7449927570472038,4.8,"Adventure,Brawler",X360,2013
Phoenix Wright: Ace Attorney - Dual Destinies,2013-07-25,430.0,"Dual Destinies continues the style of gameplay from previous installments, in which the player must utilize evidence and find contradictions in witness statements to prove their client innocent. Like previous installments, gameplay is split up between Investigations, in which players find evidence and question witnesses, and Trials, where they must use the evidence to expose contradictions. The game now features full 3D graphics and character models, allowing more dynamic camera angles during gameplay, such as quickly panning around the courtroom in the moments before a dramatic reveal. The 3D camera also allows investigation sequences to take place in 3D spaces, permitting greater investigative depth, such as being able to rotate around a room to look for clues.",3.3K,105,0.4989826877418966,3.7,"Adventure,RPG,Simulator,Puzzle,Visual Novel",3DS,2013
BioShock Infinite,2013-02-26,1500.0,"BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.",18K,197,1.0,8.0,"Adventure,Shooter",PS3,2013
BioShock Infinite,2013-02-26,1500.0,"BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.",18K,197,1.0,8.0,"Adventure,Shooter",X360,2013
Far Cry 3: Blood Dragon,2013-05-01,329.0,"The year is 2007. It is the future.


              You are Sergeant Rex Colt: Mark IV Cyber Commando. The year is 2007 and Earth has been ravaged by a nuclear war which erupted in the 90s. The east vs. west conflict has raged for generations, and humanity continues to struggle to progress after a disastrous decade. New paths for peace must be found, and the US cyborg army may have found a solution: a powerful bioweapon on a distant island. Your mission is to gather information and figure out what the hell is going on.",4.4K,15,0.3817797773653116,2.8,"Adventure,Shooter",PS3,2013
Far Cry 3: Blood Dragon,2013-05-01,329.0,"The year is 2007. It is the future.


              You are Sergeant Rex Colt: Mark IV Cyber Commando. The year is 2007 and Earth has been ravaged by a nuclear war which erupted in the 90s. The east vs. west conflict has raged for generations, and humanity continues to struggle to progress after a disastrous decade. New paths for peace must be found, and the US cyborg army may have found a solution: a powerful bioweapon on a distant island. Your mission is to gather information and figure out what the hell is going on.",4.4K,15,0.3817797773653116,2.8,"Adventure,Shooter",X360,2013
Far Cry 3: Blood Dragon,2013-05-01,329.0,"The year is 2007. It is the future.


              You are Sergeant Rex Colt: Mark IV Cyber Commando. The year is 2007 and Earth has been ravaged by a nuclear war which erupted in the 90s. The east vs. west conflict has raged for generations, and humanity continues to struggle to progress after a disastrous decade. New paths for peace must be found, and the US cyborg army may have found a solution: a powerful bioweapon on a distant island. Your mission is to gather information and figure out what the hell is going on.",4.4K,15,0.3817797773653116,2.8,"Adventure,Shooter",PC,2013
Sid Meier's Civilization V,2010-09-21,320.0,"Sid Meier's Civilization V is a turn-based strategy game where the player leads a civilization from the stone-age all the way to future tech, there is more than one way to win, achieving one of a number of different victory conditions through research, exploration, diplomacy, expansion, economic development, government and military conquest. You will face other civilizations, either online as other people or played by the computer, civilization 5 features a advanced diplomacy system when dealing with computer controlled civs or computer controlled city-states.",5.4K,56,0.3713359536683882,3.1,"Turn Based Strategy,Simulator,Strategy",PC,2010
The Legend of Zelda: The Wind Waker HD,2013-09-26,887.0,"The Legend of Zelda: The Wind Waker HD is a remaster of The Wind Waker with an alternate recreation of the original's art style, several gameplay adjustments, a new lighting engine and higher resolution textures.",6.7K,183,1.0,8.3,"Adventure,Puzzle",WIIU,2013
Assassin's Creed III,2012-10-30,707.0,"The American Colonies, 1775. A brave young warrior fights to save his homeland. But what begins as a struggle over territory turns into an extraordinary journey that will transform him into a Master Assassin—and will forever change the destiny of a nation.


              You are Connor, warrior son of a Native American mother and British father. As the colonies draw closer to revolution, you will dedicate your life to the freedom of your clan –becoming the spark that ignites the revolution into full blaze. Your crusade will take you through blood-soaked battlefields to crowded city streets, to perilous wilderness and beyond. You will not only witness history—you will make it.

              Welcome to an entirely new chapter in the Assassin’s Creed saga.",12K,72,0.8204203726360952,5.3,"Adventure,Strategy",WIIU,2012
Assassin's Creed III,2012-10-30,707.0,"The American Colonies, 1775. A brave young warrior fights to save his homeland. But what begins as a struggle over territory turns into an extraordinary journey that will transform him into a Master Assassin—and will forever change the destiny of a nation.


              You are Connor, warrior son of a Native American mother and British father. As the colonies draw closer to revolution, you will dedicate your life to the freedom of your clan –becoming the spark that ignites the revolution into full blaze. Your crusade will take you through blood-soaked battlefields to crowded city streets, to perilous wilderness and beyond. You will not only witness history—you will make it.

              Welcome to an entirely new chapter in the Assassin’s Creed saga.",12K,72,0.8204203726360952,5.7,"Adventure,Strategy",X360,2012
League of Legends,2009-10-27,484.0,"League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level.",13K,1.2K,0.5616456299234371,3.7,"RPG,Strategy,MOBA",PC,2009
Journey,2012-03-13,1500.0,"A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers.",12K,94,1.0,8.4,"Adventure,Platform",PS3,2012
Battlefield: Bad Company 2,2010-03-02,288.0,"Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""


              New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.


              Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.",4.2K,23,0.3342023583015494,2.7,"Adventure,Simulator,Strategy,Shooter",PC,2010
Battlefield: Bad Company 2,2010-03-02,288.0,"Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""


              New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.


              Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.",4.2K,23,0.3342023583015494,2.7,"Adventure,Simulator,Strategy,Shooter",PS3,2010
Battlefield: Bad Company 2,2010-03-02,288.0,"Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""


              New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.


              Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.",4.2K,23,0.3342023583015494,2.7,"Adventure,Simulator,Strategy,Shooter",X360,2010
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,7.5,"Adventure,Platform,Puzzle,Shooter",PC,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,3.3,"Adventure,Platform,Puzzle,Shooter",PC,1996
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,7.5,"Adventure,Platform,Puzzle,Shooter",X360,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,3.3,"Adventure,Platform,Puzzle,Shooter",X360,1996
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,7.5,"Adventure,Platform,Puzzle,Shooter",PS3,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,3.3,"Adventure,Platform,Puzzle,Shooter",PS3,1996
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,6.0,"Adventure,Platform,Puzzle,Shooter",NGE,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,2.7,"Adventure,Platform,Puzzle,Shooter",NGE,1996
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,7.0,"Adventure,Platform,Puzzle,Shooter",SAT,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,3.1,"Adventure,Platform,Puzzle,Shooter",SAT,1996
Tomb Raider,2013-03-04,896.0,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15K,175,1.0,7.5,"Adventure,Platform,Puzzle,Shooter",PS,2013
Tomb Raider,1996-10-25,395.0,"Tomb Raider is a 3D action game developed by Core Design and published by Eidos Interactive. The game follows the exploits of Lara Croft, a British female archaeologist in search of ancient treasures.


              The objective of Tomb Raider is to guide Lara through a series of tombs and other locations in search of treasures and artifacts. On the way, she must kill dangerous animals and other creatures, while collecting objects and solving puzzles to gain access to an ultimate prize, usually a powerful artifact.


              The game was critically acclaimed and widely influential, it spawned a number of sequels and a franchise of related media.",2.7K,45,0.4583678178094167,3.3,"Adventure,Platform,Puzzle,Shooter",PS,1996
Sonic Lost World,2013-10-18,395.0,"When the Deadly Six threaten to destroy his world, Sonic’s new moves & power-ups are the only way to defeat them before it’s too late!


              This is the first out of the three titles of Sega and Nintendo's exclusive collaboration, the others being Mario & Sonic at the Sochi 2014 Olympic Winter Games and Sonic Boom: Rise of Lyric/Sonic Boom: Shattered Crystal.",2.5K,34,0.4583678178094167,2.3,"Adventure,Platform",WIIU,2013
The Stanley Parable,2013-10-17,767.0,"The Stanley Parable is a first-person exploration game which ponders questions related to player agency, narrative pacing, escapism through gaming, objective-driven game design, authorial intent, and the conflict of interest between players and game creators.",10K,46,0.8900458639489179,7.4,"Adventure,Indie",PC,2013
Europa Universalis IV,2013-08-13,135.0,"Four centuries of detailed history come alive in Paradox’s classic grand strategy game. Lead any nation from Renaissance to Revolution in a complex simulation of the early modern world. Master the art of war, diplomacy and trade to shape and change your nation’s history!",1.3K,76,0.1566573554538513,1.3,"Simulator,Strategy,Real Time Strategy",PC,2013
Saints Row IV,2013-08-19,386.0,"Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.",7.2K,64,0.4479239941124933,3.0,"Adventure,Shooter",X360,2013
Saints Row IV,2013-08-19,386.0,"Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.",7.2K,64,0.4479239941124933,3.0,"Adventure,Shooter",PS3,2013
Saints Row IV,2013-08-19,386.0,"Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.",7.2K,64,0.4479239941124933,3.0,"Adventure,Shooter",PC,2013
